"projection","method","rank","mean","median","min","max","module_count"
"k_proj","AD_GF","32","0.9045480626079963","0.896974018180998","0.8652092973966307","0.9918079556667446","28"
"k_proj","AD_GF","64","0.9542587569984032","0.951841061897956","0.9338191826425658","0.996763336655852","28"
"k_proj","AD_GI","8","0.39929929821519844","0.4102693194559049","0.273607150738686","0.49668902854954655","28"
"k_proj","AD_GI","16","0.5212609922288994","0.523420994766973","0.40276937471599233","0.6091888031694845","28"
"k_proj","AD_GI","32","0.6450197427713825","0.6502010015972636","0.5605370862354667","0.7151460612670818","28"
"k_proj","AD_GI","64","0.7783763887216127","0.7813689551060068","0.715384901741552","0.8444910603246694","28"
"k_proj","AF_GD","8","0.6777791173859454","0.6798323721311686","0.5057745885318795","0.8320346101800765","28"
"k_proj","AF_GD","16","0.7754345704602743","0.7749253521277499","0.611100085931639","0.8983973423222527","28"
"k_proj","AF_GD","32","0.860263942031323","0.8595015097616918","0.7249716649252153","0.9545840217377856","28"
"k_proj","AF_GD","64","0.928694419595357","0.9301065875427534","0.8401844222487715","0.9836707594242424","28"
"k_proj","AF_GF","8","0.7971495380726193","0.7951358917050948","0.6619709275600948","0.9667981007981676","28"
"k_proj","AF_GF","16","0.8651604392257985","0.864202725315676","0.7765019671188238","0.9828815720650209","28"
"k_proj","AF_GF","32","0.9215360667968978","0.9213723184469671","0.8798727604303701","0.9925389930720634","28"
"k_proj","AF_GF","64","0.9634860272970495","0.9618877600792862","0.9444090771392537","0.9972955045935836","28"
"k_proj","AF_GI","8","0.5198469689431384","0.5201448434140623","0.3910804307956537","0.6425960536826248","28"
"k_proj","AF_GI","16","0.6182594792719287","0.6293348305273145","0.5030725880100734","0.709744553795376","28"
"k_proj","AF_GI","32","0.7237094494702446","0.7253844722307281","0.6410724479406886","0.7797351594486266","28"
"k_proj","AF_GI","64","0.8348641682186643","0.8386234177746682","0.7905955543034059","0.8764576266609736","28"
"o_proj","AD_GD","8","0.18242426739008225","0.12186325055488943","0.06141776975572364","0.48538731389022116","28"
"o_proj","AD_GD","16","0.24373682994457593","0.18871488110689877","0.10829602398982875","0.5333537759726982","28"
"o_proj","AD_GD","32","0.32001832578032097","0.27819997260347484","0.18275357128045455","0.5860506400794121","28"
"o_proj","AD_GD","64","0.4189341301648442","0.38418335794427205","0.2927413289159801","0.6283907044253603","28"
"o_proj","AD_GF","8","0.22150799376649616","0.17924071871243677","0.07632179341010271","0.5155213422382846","28"
"o_proj","AD_GF","16","0.2910771697212531","0.24963909939952245","0.1311024839938934","0.5780422988931437","28"
"o_proj","AD_GF","32","0.37782032406708504","0.3484130296553527","0.21623817007583632","0.6401507912002934","28"
"o_proj","AD_GF","64","0.4856264999346759","0.46824667058438796","0.34338457678456447","0.7134319413324215","28"
"o_proj","AD_GI","8","0.18269933313921172","0.12119775202288355","0.0655163259449188","0.4926845473030472","28"
"o_proj","AD_GI","16","0.24382911555454187","0.19054718619420652","0.11071677940762846","0.5327124664595708","28"
"o_proj","AD_GI","32","0.319556839913154","0.2795812826433615","0.17730014227959873","0.5869195290311702","28"
"o_proj","AD_GI","64","0.41720237679377625","0.38370626785850664","0.2806188835341868","0.6257366220736683","28"
"o_proj","AF_GD","8","0.46359295042606175","0.40056721434414855","0.2682913033375153","0.8596082922754912","28"
"o_proj","AF_GD","16","0.5392131984644206","0.4917369891289891","0.36433032870927023","0.8712253488463303","28"
